date,1. open,2. high,3. low,4. close,5. volume
2020-03-03,2.61,2.65,2.46,2.48,527435.0
2020-03-02,2.61,2.645,2.535,2.62,264984.0
2020-02-28,2.81,2.81,2.5,2.59,860866.0
2020-02-27,2.79,2.92,2.73,2.81,643508.0
2020-02-26,2.77,2.88,2.72,2.81,577866.0
2020-02-25,2.9,2.9,2.72,2.73,364451.0
2020-02-24,2.79,2.89,2.78,2.88,337355.0
2020-02-21,2.81,2.86,2.76,2.83,163702.0
2020-02-20,2.77,2.815,2.75,2.78,231575.0
2020-02-19,2.88,2.88,2.73,2.73,296867.0
2020-02-18,2.81,2.88,2.8,2.87,213796.0
2020-02-14,2.83,2.85,2.78,2.81,209258.0
2020-02-13,2.72,2.82,2.72,2.82,159808.0
2020-02-12,2.71,2.78,2.71,2.74,305349.0
2020-02-11,2.89,2.9,2.71,2.74,444011.0
2020-02-10,2.9,2.91,2.8,2.87,380985.0
2020-02-07,2.8,2.95,2.79,2.82,656025.0
2020-02-06,3.0,3.0,2.75,2.76,418604.0
2020-02-05,2.73,2.97,2.7012,2.96,1094428.0
2020-02-04,2.75,2.77,2.68,2.68,315812.0
2020-02-03,2.7,2.81,2.7,2.71,773224.0
2020-01-31,2.64,2.65,2.54,2.6,527091.0
2020-01-30,2.67,2.685,2.625,2.65,307819.0
2020-01-29,2.69,2.72,2.65,2.69,192779.0
2020-01-28,2.69,2.78,2.66,2.7,219249.0
2020-01-27,2.84,2.87,2.61,2.69,583629.0
2020-01-24,2.95,3.02,2.82,2.84,329618.0
2020-01-23,2.9,2.96,2.85,2.95,421498.0
2020-01-22,2.79,2.94,2.77,2.9,244916.0
2020-01-21,2.79,2.8,2.75,2.79,308982.0
2020-01-17,2.83,2.83,2.79,2.8,186862.0
2020-01-16,2.82,2.83,2.8,2.82,155150.0
2020-01-15,2.79,2.81,2.76,2.8,192594.0
2020-01-14,2.82,2.83,2.78,2.78,184556.0
2020-01-13,2.83,2.85,2.79,2.83,185173.0
2020-01-10,2.86,2.86,2.75,2.85,401290.0
2020-01-09,2.86,2.88,2.8277,2.85,361678.0
2020-01-08,2.9,2.91,2.865,2.9,119419.0
2020-01-07,2.95,2.95,2.86,2.9,192244.0
2020-01-06,3.01,3.02,2.94,2.96,264882.0
2020-01-03,2.92,3.08,2.9,3.03,700005.0
2020-01-02,2.97,2.97,2.8925,2.94,195044.0
2019-12-31,2.85,2.95,2.85,2.95,231458.0
2019-12-30,2.82,2.89,2.815,2.88,176602.0
2019-12-27,2.8,2.89,2.7903,2.83,224960.0
2019-12-26,2.75,2.78,2.74,2.77,290666.0
2019-12-24,2.81,2.81,2.67,2.74,292823.0
2019-12-23,2.86,2.86,2.745,2.78,231523.0
2019-12-20,2.78,2.87,2.76,2.86,1746839.0
2019-12-19,2.65,2.79,2.65,2.76,356779.0
2019-12-18,2.64,2.685,2.64,2.66,188748.0
2019-12-17,2.6,2.7,2.6,2.65,301481.0
2019-12-16,2.66,2.68,2.6,2.62,280794.0
2019-12-13,2.63,2.66,2.6,2.64,246859.0
2019-12-12,2.75,2.79,2.65,2.65,222129.0
2019-12-11,2.79,2.8,2.72,2.74,239297.0
2019-12-10,2.75,2.81,2.7455,2.8,174755.0
2019-12-09,2.74,2.81,2.74,2.77,209977.0
2019-12-06,2.71,2.81,2.71,2.76,308975.0
2019-12-05,2.67,2.78,2.67,2.74,306887.0
2019-12-04,2.66,2.75,2.66,2.68,358137.0
2019-12-03,2.71,2.71,2.62,2.67,374254.0
2019-12-02,2.65,2.7,2.64,2.68,459567.0
2019-11-29,2.63,2.68,2.61,2.67,124579.0
2019-11-27,2.65,2.68,2.63,2.64,177340.0
2019-11-26,2.66,2.6809,2.62,2.63,405395.0
2019-11-25,2.62,2.65,2.6,2.63,211351.0
